Summary,Description,Analysis
Unable to subscribe to Microservices in newly created tenants,"We have created couple of sub-tenants and subscribing to microservices which are working fine in another (old) sub-tenants, but not in new sub-tenants. 

new Tenant: [https://pcd.sandboxiot.hillrom.com/] 

Here is the issue we noticed on the status tab: 

0/7 nodes are available: 2 Insufficient cpu, 2 node(s) were unschedulable, 3 node(s) had taint {[node-role.kubernetes.io/master:|http://node-role.kubernetes.io/master:] }, that the pod didn't tolerate",Incident
Hilti: activation of Notification 2.0 on their environment.,"Hilti Dedicated Environment 

Customer would like Notifications 2.0 activated on their environment.",Ticket
Update custom domain for https://factorypuls.emea.cumulocity.com and add the license,"*Affected system* 

Instance: EMEA 
Tenant URL: https://factorypuls.emea.cumulocity.com/ 

*Description of the Problem:* 

Customer wants to migrate their master tenant DNS to a custom domain name and implement DNS masking. 

Domain Name: FactoryVisual.eu 
Tenant URL: https://factorypuls.emea.cumulocity.com/ 

Please find the .pem and .pkcs#7 files attached. 
[^PEM files_.factoryvisual.eu.zip] 
[^PKCS 7 files_.factoryvisual.eu.zip] 

They have not provided .PKCS #12 files despite multiple requests and seems customer ended up buying from providers who are too reluctant to provide .PKCS#12 files. 

Please upload the certs and activate the domain and then add the license for it in EMEA instance.",Incident
"Delete incorrect ""waiting in register"" devices","Customer accidently registered devices via bulk registration without using a semicolon in the description. This has resulted in 10x devices being registered with forward slashes in the ID’s rather than nesting the devices into groups. 

These devices now cannot be deleted as a forward slash in the delete command is not accepted. 

Tenant: onsite 

Environment: production 

Please see attachment for more information 

----------------------------------------------------- 

Had a discussion in the Support chat, this can be discussed with Jakub....",Incident
Please update cumulocity.com core to 10.18.0.320,"We have 3 customers with the same issue, which is fixed in core 10.18.0.320: 
Issue: their cockpit widgets don't work since last update mid of December 
customers: Eaton, Utonomy and Möbus Umweltschutz GmbH 
All have subtenants in cumulocity.com 
All customers ask for an update of cumulocity.com core to 10.18.0.320 
https://getsupport.softwareag.com/browse/SI-550704  
https://getsupport.softwareag.com/browse/SI-548223  
https://getsupport.softwareag.com/browse/SI-549484  

Please let me know when this can be done.",Incident
CLONE - [BD][Kaak Bakeware] Alarms updated but hidden,"Hello R&D, 

maybe it is a misunderstanding by me and the customer. Else we might have an UI issue here. 

The image titled alarms you can see an overview of the alarm of a tenant. As you can see no alarms newer then 28 June is shown. The screenshot is from 01.07.2021, no wo worries about alarm newer than 01.07.2021. 

The image titled usage shows management overview of the tenant and shows over 8000 alarms being updated. This view is set to only show data of 01.07.21. 

The possible issue is that the alarms shown as updated are not visible. Even the count if an alarm was raised several times is not matching those numbers. So where can these alarms be found? Is this a bug or a misunderstanding? 

  

For OPS team 

Customer does not know from where large amounts of alarm updates are coming and what is their source 
Could you please provide some logs regarding alarm creation/updating or respecting audit logs, also logs from smartrules would be great",Incident
nifprd environment issues: suspected K8s worker node 1 problems,"In the last days we are having some odd issues with some of heavy the microservices that run on nxworkerprd01v (Kubernetes worker 01 on prod). 
When I had Event processing running there is was running slowly and or refused to start properly. Having it on any other worker node made it run normally. Today we found that cca-dashboard working on worker 01 is causing end-users issues with performance. Restart of the pod on other node solved the issue. 

We have a bunch of other (much lighter and less critical) MSes running on nxworkerprd01v but if any of those heavy MSes will be started here this will cause trouble. 

I suggest to: 
# cordon nxworkerprd01v temporarily until we will find out what is the issue 
# check if you can see any suspicious issues with the VM running the worker node (down to system logs). 
We are issuing a parallel ticket to PlusServer to take a closer look at the VM subsystem. 
If required feel free to drain the node and restart - it should not cause too much trouble to the end users in this case.",Incident
Request to delete subtenants,"Information from the customer (Eppendorf): 

  

We created subtenants for testing purposes that are no longer needed. As there is no functionality to delete them by our own, we kindly ask to remove the subtenants for us. They are located in different enterprise tenants and are all suspended. 

The list is attached as Excel file. If you need the list in a different format, or if you have further questions, please let me know. 

-------- 

Thanks, 

Kent",Ticket
"Schindler QAL: Can't logon to Dremio UI anymore / ""No space left on device""","as of today, 2024-05-07, people are no longer able to log onto the Dremio UI. It shows “Invalid username or password”. 

All corresponding offloading jobs in DataHub fail, due to: 
{noformat} 
Failure in connecting to Dremio: cdjd.com.dremio.exec.rpc.RpcException: HANDSHAKE_VALIDATION : Status: UNKNOWN_FAILURE, Error Id: 8f89ed48-f80e-47b4-8703-3f856a0f05bf, Error message: org.rocksdb.RocksDBException: While appending to file: /opt/dremio/data/db/catalog/068906.log: No space left on device{noformat} 
So, it appears that we ran out of space for Dremio? 

Is this the root cause? How can it be fixed? This is currently blocking our development.",Incident
Strange 502 Bad Gateway Error from a couple of LoRaWAN devices,"*Necessary iTrac information* 

*Cumulocity.com  (In Grafana terms it is _LokiEU-DS-02    / {cumulocity_environment=""cumulocity-multinode-central-1-prod""}_* 

{*}Affected tenant{*}{*}{*} 

Loriot-agent 1017.0.289 is subcribed from the Enterprise tenant   t326439018  and from the subtenant t1105226074    

Enterprise Tenant? Yes *t326439018*  
System accessible by R&D? Yes  

*Issue associated  microservice* 

*Loriot-agent 1017.0.289 is subcribed from the Enterprise tenant   t326439018  and from the subtenant t1105226074*   ** 
* (URL in ""Own applications""): [http://localhost:8111/apps/administration/index.html#/microservices/40366/properties]   

Current instance:  loriot-agent-scope-management-deployment-7655bd585b-flkjr 
* Cumulocity product microservice. Version  *Loriot-agent 1017.0.289*   PROVIDER   Name Cumulocity GmbH 

  

*Time periods error was observed:* *The given time stamps in the description are from Friday (2023-10-20 14:45:55.781 CUMULOCITY ... )* *and customer mentions*   *from the  _Loriot logs:_ ( 2023-10-19 14:33:02.320 to 2023-10-19 20:57:46.732 ) .* 

  

Please take a look at the Error Messages. 
{noformat} 
2023-10-20 14:45:55.781 CUMULOCITY Error POSTing message | ""appid"":BE010006,""cmd"":""gw"",""url"":""https://traptice.wains.info/"",""deveui"":""8C1F64FFFE3D131F"",""seqno"":409541,""ts"":1697805954539,""fcnt"":0,""err"":""Request failed with status code 502"",""data"":{""statusCode"":null},""errName"":""Error"",""instance"":""out-1"" 
2023-10-20 14:45:55.586 CUMULOCITY Error POSTing message | ""appid"":BE010006,""cmd"":""rx"",""url"":""https://traptice.wains.info/"",""deveui"":""8C1F64FFFE3D131F"",""seqno"":409541,""ts"":1697805954539,""fcnt"":0,""err"":""Request failed with status code 502"",""data"":{""statusCode"":null},""errName"":""Error"",""instance"":""out-1"" 
2023-10-20 14:45:21.984 CUMULOCITY Error POSTing message | ""appid"":BE010006,""cmd"":""gw"",""url"":""https://traptice.wains.info/"",""deveui"":""647FDA0000011F99"",""seqno"":409540,""ts"":1697805920748,""fcnt"":3,""err"":""Request failed with status code 502"",""data"":{""statusCode"":null},""errName"":""Error"",""instance"":""out-1"" 
2023-10-20 14:45:21.793 CUMULOCITY Error POSTing message | ""appid"":BE010006,""cmd"":""rx"",""url"":""https://traptice.wains.info/"",""deveui"":""647FDA0000011F99"",""seqno"":409540,""ts"":1697805920748,""fcnt"":3,""err"":""Request failed with status code 502"",""data"":{""statusCode"":null},""errName"":""Error"",""instance"":""out-1"" 
2023-10-20 14:29:12.377 CUMULOCITY Error POSTing message | ""appid"":BE010006,""cmd"":""gw"",""url"":""https://traptice.wains.info/"",""deveui"":""8C1F64FFFE3D1601"",""seqno"":409531,""ts"":1697804951130,""fcnt"":0,""err"":""Request failed with status code 502"",""data"":{""statusCode"":null},""errName"":""Error"",""instance"":""out-1"" 
2023-10-20 14:29:12.174 CUMULOCITY Error POSTing message | ""appid"":BE010006,""cmd"":""rx"",""url"":""https://traptice.wains.info/"",""deveui"":""8C1F64FFFE3D1601"",""seqno"":409531,""ts"":1697804951130,""fcnt"":0,""err"":""Request failed with status code 502"",""data"":{""statusCode"":null},""errName"":""Error"",""instance"":""out-1"" 
2023-10-20 14:28:05.845 CUMULOCITY Error POSTing message | ""appid"":BE010006,""cmd"":""gw"",""url"":""https://traptice.wains.info/"",""deveui"":""8C1F64FFFE3D1607"",""seqno"":409530,""ts"":1697804884586,""fcnt"":0,""err"":""Request failed with status code 502"",""data"":{""statusCode"":null},""errName"":""Error"",""instance"":""out-1"" 
2023-10-20 14:28:05.639 CUMULOCITY Error POSTing message | ""appid"":BE010006,""cmd"":""rx"",""url"":""https://traptice.wains.info/"",""deveui"":""8C1F64FFFE3D1607"",""seqno"":409530,""ts"":1697804884586,""fcnt"":0,""err"":""Request failed with status code 502"",""data"":{""statusCode"":null},""errName"":""Error"",""instance"":""out-1"" 
2023-10-20 14:11:52.704 CUMULOCITY Error POSTing message | ""appid"":BE010006,""cmd"":""gw"",""url"":""https://traptice.wains.info/"",""deveui"":""8C1F64FFFE3D1610"",""seqno"":409524,""ts"":1697803911468,""fcnt"":7,""err"":""Request failed with status code 502"",""data"":{""statusCode"":null},""errName"":""Error"",""instance"":""out-1"" 
2023-10-20 14:11:52.507 CUMULOCITY Error POSTing message | ""appid"":BE010006,""cmd"":""rx"",""url"":""https://traptice.wains.info/"",""deveui"":""8C1F64FFFE3D1610"",""seqno"":409524,""ts"":1697803911468,""fcnt"":7,""err"":""Request failed with status code 502"",""data"":{""statusCode"":null},""errName"":""Error"",""instance"":""out-1"" 
2023-10-20 14:10:20.497 CUMULOCITY Error POSTing message | ""appid"":BE010006,""cmd"":""gw"",""url"":""https://traptice.wains.info/"",""deveui"":""8C1F64FFFE3D1089"",""seqno"":409523,""ts"":1697803819259,""fcnt"":0,""err"":""Request failed with status code 502"",""data"":{""statusCode"":null},""errName"":""Error"",""instance"":""out-1"" 
2023-10-20 14:10:20.333 CUMULOCITY Error POSTing message | ""appid"":BE010006,""cmd"":""rx"",""url"":""https://traptice.wains.info/"",""deveui"":""8C1F64FFFE3D1089"",""seqno"":40{noformat} 
  

{color:#172b4d}User *Kotorowicz, Jakub* commented in iTrac 18771{color} 

{color:#172b4d}Please ask Ops responsible for this system for taking 
thread-dump and Heap-dump (second one when microservice is close to the limits (eg. 80%+).{color} 

{color:#172b4d}Heap-dump analysis is a standard procedure when we observe memory leak, and collection should also be standard when Ops create such tickets. Please also be aware that taking heap-dump may make agent not responsive for some time, since it is ""stop the world"" operation. {color}**",Incident
